sheet_name|variable|type|description|group
neuro|hs_Esc_Otr|float|Other problems|CBCL
neuro|hs_DSM_Afe|float|DSM-Affective problems|CBCL
neuro|hs_DSM_Ans|float|DSM-Anxiety problems|CBCL
neuro|hs_DSM_Som|float|DSM-Somatic problems|CBCL
neuro|hs_DSM_TDAH|float|DSM-ADHD problems|CBCL
neuro|hs_DSM_Opo|float|DSM-Oppositional problems|CBCL
neuro|hs_DSM_Con|float|DSM-Conduct problems|CBCL
neuro|hs_Gen_Int|float|Internalizing scales|CBCL
neuro|hs_Gen_Ext|float|Externalizing scales|CBCL
neuro|hs_Gen_Tot|float|Total problems|CBCL
neuro|hs_Oposic_raw|float|Oppositional|Conners
neuro|hs_Cognit_raw|float|Cognitive Problems/Inattention|Conners
neuro|hs_Hyper_raw|float|Hyperactivity|Conners
neuro|hs_ADHD_raw|float|ADHD Index|Conners
neuro|hs_ADHD_raw_Cat|float|ADHD Index cut-off|Conners
neuro||byte|number of correct rejections numbers 2-back|nback_mother
neuro||byte|number of false alarms numbers 2-back|nback_mother
neuro||byte|number of hits numbers 2-back|nback_mother
neuro||byte|number of miss numbers 2-back|nback_mother
neuro||double|Mean Hit Reaction Time numbers 2-back|nback_mother
neuro||byte|number of correct rejections numbers 3-back|nback_mother
neuro||byte|number of false alarms numbers 3-back|nback_mother
neuro||byte|number of hits numbers 3-back|nback_mother
neuro||byte|number of miss numbers 3-back|nback_mother
neuro||double|Mean Hit Reaction Time numbers 3-back|nback_mother
neuro||float|Percentage of correct responses (hits and correct rejections) numbers 2-back|nback_mother
neuro||float|detectability numbers 2-back|nback_mother
neuro||float|Percentage of correct responses (hits and correct rejections) numbers 3-back|nback_mother
neuro||float|detectability numbers 3-back|nback_mother
neuro||byte|number of correct rejections numbers 2-back|nback_father
neuro||byte|number of false alarms numbers 2-back|nback_father
neuro||byte|number of hits numbers 2-back|nback_father
neuro||byte|number of miss numbers 2-back|nback_father
neuro||double|Mean Hit Reaction Time numbers 2-back|nback_father
neuro||byte|number of correct rejections numbers 3-back|nback_father
neuro||byte|number of false alarms numbers 3-back|nback_father
neuro||byte|number of hits numbers 3-back|nback_father
neuro||byte|number of miss numbers 3-back|nback_father
neuro||double|Mean Hit Reaction Time numbers 3-back|nback_father
neuro||float|Percentage of correct responses (hits and correct rejections) numbers 2-back|nback_father
neuro||float|detectability numbers 2-back|nback_father
neuro||float|Percentage of correct responses (hits and correct rejections) numbers 3-back|nback_father
neuro||float|detectability numbers 3-back|nback_father
neuro|GPF|double|General psychopathology factor (GPF)|pfactor
neuro|INT|double|Internalizing (symptom-specific factor)|pfactor
neuro|EXT|double|Externalizing (symptom-specific factor)|pfactor
respiratory||character|Wheezing or whistling in the chest the last year|Asthma_wheezing
respiratory||character|Number of attacks of wheezing  the last year|Asthma_wheezing
respiratory||character|Frequency of sleep disturbance due to wheezing the last year|Asthma_wheezing
respiratory||character|Wheezing  severe enough to limit your childs speech to only one or two words at a time between breaths (the last year)|Asthma_wheezing
respiratory|hs_asthma|character|Doctor diagnosed asthma (ever)|Asthma_wheezing
respiratory||integer|Age when doctor diagnosed with asthma|Asthma_wheezing
respiratory||character|Medication for asthma or breathing difficulties (wheezing, chest tightness, shortness of breath) in the last year|Asthma_wheezing
respiratory||character|Rhinitis last 12 months: Problems with sneezing, or a runny, or blocked nose without having a cold or the flu|Allergic_Rhinitis
respiratory||bool|Rhinitis last 12 months with sneezing:|Allergic_Rhinitis
respiratory||bool|Rhinitis last 12 months with runny nose|Allergic_Rhinitis
respiratory||bool|Rhinitis last 12 months with blocked nose|Allergic_Rhinitis
respiratory||bool|Rhinitis last 12 months with ichty eyes|Allergic_Rhinitis
respiratory||bool|Rhinitis symptoms occuring in January|Allergic_Rhinitis
respiratory||bool|Rhinitis symptoms occuring in February|Allergic_Rhinitis
respiratory||bool|Rhinitis symptoms occuring in March|Allergic_Rhinitis
respiratory||bool|Rhinitis symptoms occuring in April|Allergic_Rhinitis
respiratory||bool|Rhinitis symptoms occuring in May|Allergic_Rhinitis
respiratory||bool|Rhinitis symptoms occuring in June|Allergic_Rhinitis
respiratory||bool|Rhinitis symptoms occuring in July|Allergic_Rhinitis
respiratory||bool|Rhinitis symptoms occuring in August|Allergic_Rhinitis
respiratory||bool|Rhinitis symptoms occuring in September|Allergic_Rhinitis
respiratory||bool|Rhinitis symptoms occuring in October|Allergic_Rhinitis
respiratory||bool|Rhinitis symptoms occuring in November|Allergic_Rhinitis
respiratory||bool|Rhinitis symptoms occuring in December|Allergic_Rhinitis
respiratory||bool|Rhinitis without symptoms in nose or eyes|Allergic_Rhinitis
respiratory||bool|Rhinitis symptoms associated with animals|Allergic_Rhinitis
respiratory||bool|Rhinitis symptoms associated with grass, trees or flowers|Allergic_Rhinitis
respiratory||bool|Rhinitis symptoms associated with house dust/house dust mite|Allergic_Rhinitis
respiratory||bool|Rhinitis symptoms associated with tobaccco smoke or heavy scent|Allergic_Rhinitis
respiratory||bool|Rhinitis symptoms associated with air pollutants|Allergic_Rhinitis
respiratory||bool|Rhinitis symptoms associated with other triggers|Allergic_Rhinitis
respiratory||character|Rhinitis symptoms associated with other triggers. Specified|Allergic_Rhinitis
respiratory||character|Rhinitis: medicines taken against nasal allergy/hay fever/Allergic_Rhinitis In in the last year|Allergic_Rhinitis
respiratory||bool|Rhinitis with itchy-watery eyes|Allergic_Rhinitis
respiratory||bool|Rhinitis symptoms in December-February|Allergic_Rhinitis
respiratory||bool|Rhinitis symptoms in March-May|Allergic_Rhinitis
respiratory||bool|Rhinitis symptoms in June-August|Allergic_Rhinitis
respiratory||bool|Rhinitis symptoms in September-November|Allergic_Rhinitis
respiratory||bool|Rhinitis symptoms in all four seasons (perennial)|Allergic_Rhinitis
respiratory||character|Dry skin the last 12 months|Eczema
respiratory||character|Itchy rash: Itchy rash which was intermittently coming and going at any time in the past 12 months|Eczema
respiratory||character|Itchy rash at any time in the last year|Eczema
respiratory||bool|Itchy rash on fold of the elbows|Eczema
respiratory||bool|Itchy rash behind the knees|Eczema
respiratory||bool|Itchy rash in front of the ankles|Eczema
respiratory||bool|Itchy rash under the buttocks|Eczema
respiratory||bool|Itchy rash around the neck, ears of face|Eczema
respiratory||bool|Itchy rash on other parts of the body|Eczema
respiratory||character|Rash cleared completely at any time during in the last year|Eczema
respiratory||bool|Itchy rash in January|Eczema
respiratory||bool|Itchy rash in February|Eczema
respiratory||bool|Itchy rash in March|Eczema
respiratory||bool|Itchy rash in April|Eczema
respiratory||bool|Itchy rash in May|Eczema
respiratory||bool|Itchy rash in June|Eczema
respiratory||bool|Itchy rash in July|Eczema
respiratory||bool|Itchy rash in August|Eczema
respiratory||bool|Itchy rash in September|Eczema
respiratory||bool|Itchy rash in October|Eczema
respiratory||bool|Itchy rash in November|Eczema
respiratory||bool|Itchy rash in December|Eczema
respiratory||character|Doctor diagnosed eczema or atopic dermatitis or neurodermatitis|Eczema
respiratory||character|Food_Allergy (ever)|Food_Allergy
respiratory||character|Allergic reaction caused by cows milk|Food_Allergy
respiratory||integer|Age when the allergic reaction to cows milk first occurred|Food_Allergy
respiratory||character|Still have allergy to cows milk|Food_Allergy
respiratory||character|Allergic reaction caused by egg|Food_Allergy
respiratory||integer|Age when the allergic reaction to egg first occurred|Food_Allergy
respiratory||character|Still have allergy to egg|Food_Allergy
respiratory||character|Allergic reaction caused by wheat|Food_Allergy
respiratory||integer|Age when the allergic reaction to wheat first occurred|Food_Allergy
respiratory||character|Still have allergy to wheat|Food_Allergy
respiratory||character|Allergic reaction caused by codfish|Food_Allergy
respiratory||integer|Age when the allergic reaction to cows codfish occurred|Food_Allergy
respiratory||character|Still have allergy to codfish|Food_Allergy
respiratory||character|Allergic reaction caused by soy|Food_Allergy
respiratory||integer|Age when the allergic reaction to soy first occurred|Food_Allergy
respiratory||character|Still have allergy to soy|Food_Allergy
respiratory||character|Allergic reaction caused by peanut|Food_Allergy
respiratory||integer|Age when the allergic reaction to peanut first occurred|Food_Allergy
respiratory||character|Still have allergy to peanut|Food_Allergy
respiratory||character|Allergic reaction caused by other item|Food_Allergy
respiratory||character|Food_Allergy: Specify the food item|Food_Allergy
respiratory||integer|Age when the allergic reaction to the other food item first occurred|Food_Allergy
respiratory||character|Still have allergy to the other food item|Food_Allergy
respiratory||character|Has your child had a common cold the last 12 months|Common_Infections
respiratory||integer|How many times your child had a common cold in the last year|Common_Infections
respiratory||character|Has your child had flu in the last 12 months|Common_Infections
respiratory||integer|How many times your child had flu in the last year|Common_Infections
respiratory||character|Has your child had pneumonia/bronchitis in the last 12 months|Common_Infections
respiratory||integer|How many times your child had pneumonia/bronchitis in the last year|Common_Infections
respiratory||character|Has your child had otitis media in the last 12 months|Common_Infections
respiratory||integer|How many times your child had otitis media in the last year|Common_Infections
respiratory||character|Has your child had gastroenteritis with vomiting or diarrhoea in the last 12 months|Common_Infections
respiratory||integer|How many times your child had gastroenteritis with vomiting or diarrhoea in the last year|Common_Infections
respiratory||character|Has your child had urinary tract infection in the last 12 months|Common_Infections
respiratory||integer|How many times your child had urinary tract infection in the last year|Common_Infections
respiratory||character|Have you (the child’s mother) ever had eczema (excluding contact dermatitis and psoriasis)|Family_history
respiratory||integer|How old were you (the child'd mother) at the onset of your eczema|Family_history
respiratory||character|Have you (the child’s mother) ever had asthma|Family_history
respiratory||integer|How old were you (the child'd mother) at the onset of your asthma|Family_history
respiratory||character|Have you (the child’s mother) ever had hayfever or Allergic_Rhinitis|Family_history
respiratory||integer|How old were you (the child'd mother) at the onset of your hayfever or Allergic_Rhinitis|Family_history
respiratory||character|Has the child’s father ever had eczema (excluding contact dermatitis and psoriasis)?|Family_history
respiratory||integer|How old was he at the onset of his eczema|Family_history
respiratory||character|Has the child’s father ever had asthma|Family_history
respiratory||integer|How old was he at the onset of his asthma|Family_history
respiratory||character|Has the child’s father ever had hayfever or Allergic_Rhinitis|Family_history
respiratory||integer|How old was he at the onset of his hayfever or Allergic_Rhinitis|Family_history
respiratory||bool|Itchy rash (intermittently) in December-February|Eczema
respiratory||bool|Itchy rash (intermittently) in March-May|Eczema
respiratory||bool|Itchy rash (intermittently) in June-August|Eczema
respiratory||bool|Itchy rash (intermittently) in September-November|Eczema
respiratory||bool|Itchy rash (intermittently) in all four seasons (perennial)|Eczema
spirometry||integer|Curve identification number|Curve_characteristic
spirometry||string|Examination number|Curve_characteristic
spirometry||date|Date of examination|Curve_characteristic
spirometry||time|Time of trial|Curve_characteristic
spirometry||integer|Number of trials in the given examination|Curve_characteristic
spirometry||integer|Trial number in the given examination|Curve_characteristic
spirometry||decimal|Length of flow/volume curve|Curve_characteristic
spirometry||decimal|Length of volume/time curve|Curve_characteristic
spirometry||integer|Technician performing the examination|Curve_characteristic
spirometry||decimal|Time zero from back extrapolation (s)|Curve_characteristic
spirometry||bool|Test was a post test (No=0, Yes=1)|Curve_characteristic
spirometry||integer|QCGrade from the spirometry machine|Curve_characteristic
spirometry||bool|Test was accepted by the spirometry machine (No=0, Yes=1)|Curve_characteristic
spirometry|HelixID|string|HELIX identification number|Child_characteristic
spirometry|cohort|string|Cohort name|Child_characteristic
spirometry||string|Panel (sub or cp2)|Child_characteristic
spirometry|hs_Ethnic|string|Ethnicity of the child (data from the spirometry machine)|Child_characteristic
spirometry|hs_Gender|string|Gender of the child|Child_characteristic
spirometry|hs_Smoker|integer|Smoking status of the mother|Child_characteristic
spirometry|hs_Asthma_spiro|integer|Asthma status  (data from the spirometry machine)|Child_characteristic
spirometry||date|Date of birth of the child|Child_characteristic
spirometry|hs_Age|decimal|Age of the child at the time of examination|Child_characteristic
spirometry|hs_Height|decimal|Height of the child at the time of examination|Child_characteristic
spirometry|hs_Weight|decimal|Weight of the child at the time of examination|Child_characteristic
spirometry||string|Wheezing from the HELIX questionnaire|Child_characteristic
spirometry|hs_Asthma_HelixQuest|string|Asthma status from the HELIX questionnaire|Child_characteristic
spirometry||string|Medical asthma status from the HELIX questionnaire|Child_characteristic
spirometry||decimal|Time between panel 1 and panel 2 test (in days)|Child_characteristic
spirometry||decimal|Height difference between panel 1 and panel 2 test|Child_characteristic
spirometry||decimal|Weight difference between panel 1 and panel 2 test (in days)|Child_characteristic
spirometry||decimal|Forced expiratory volume in 1 second (L)|Spirometry_data
spirometry||decimal|Forced expiratory volume in 6 seconds (L)|Spirometry_data
spirometry||decimal|Forced Vital capacity (L)|Spirometry_data
spirometry||decimal|Peak expiratory flow (L/s)|Spirometry_data
spirometry||decimal|Back extrapolated volume (L)|Spirometry_data
spirometry||decimal|Forced Expiratory Time (s)|Spirometry_data
spirometry||decimal|Peak Expiratory Flow Time (s)|Spirometry_data
spirometry||decimal|Forced expiratory flow 25% (l/s)|Spirometry_data
spirometry||decimal|Forced expiratory flow 50% (l/s)|Spirometry_data
spirometry||decimal|Forced expiratory flow 75% (l/s)|Spirometry_data
spirometry||decimal|Forced expiratory flow 25% to 75% (l/s)|Spirometry_data
spirometry||decimal|Forced expiratory volume in 3 second (L)|Spirometry_data
spirometry||decimal|Forced inspiratory vital capacity (L)|Spirometry_data
spirometry||decimal|VCmax|Spirometry_data
spirometry||decimal|End Of test volume (L)|Spirometry_data
spirometry||decimal|Peak inspiratory flow (L/s)|Spirometry_data
spirometry||decimal|Forced inspiratory flow 25% (L/s)|Spirometry_data
spirometry||decimal|Forced inspiratory flow 50% (L/s)|Spirometry_data
spirometry||decimal|Forced inspiratory flow 75% (L/s)|Spirometry_data
spirometry||decimal|Forced expiratory volume in 1 second percent predicted value|Spirometry_data
spirometry||decimal|Forced Vital capacity percent predicted value|Spirometry_data
spirometry||decimal|Forced expiratory volume in 1 second over Forced Vital capacity rate percent predicted value|Spirometry_data
spirometry||decimal|Forced expiratory flow 25% to 75% percent predicted value|Spirometry_data
spirometry||decimal|BEV/FVC rate|Spirometry_data
spirometry||decimal|FEV1/FVC rate|Spirometry_data
spirometry||bool|FEV1/FVC rate>90%|Spirometry_data
spirometry||bool|FEV1/FVC rate>95%|Spirometry_data
spirometry||bool|Curve meeting the acceptibility criteria for FEV1 (No=0, Yes=1)|Acceptance_test
spirometry||bool|Examination meeting the loose reproducibility criteria for FEV1 (No=0, Yes=1)|Acceptance_test
spirometry||bool|Examination meeting the stringent reproducibility criteria for FEV1 (No=0, Yes=1)|Acceptance_test
spirometry||bool|Curve selected as per the loose criteria set for FEV1 (No=0, Yes=1)|Acceptance_test
spirometry||bool|Curve selected as per the stringent criteria set for FEV1 (No=0, Yes=1)|Acceptance_test
spirometry||bool|Curve meeting the acceptibility criteria for FVC (No=0, Yes=1)|Acceptance_test
spirometry||bool|Examination meeting the loose reproducibility criteria for FVC (No=0, Yes=1)|Acceptance_test
spirometry||bool|Examination meeting the stringent reproducibility criteria for FVC (No=0, Yes=1)|Acceptance_test
spirometry||bool|Curve selected as per the loose criteria set for FVC (No=0, Yes=1)|Acceptance_test
spirometry||bool|Curve selected as per the stringent criteria set for FVC (No=0, Yes=1)|Acceptance_test
OTHERS||NA|Do you have any pets that live mainly in your home?  (recode from quetsys)|pets
OTHERS||NA|Do you have any cats that live mainly in your home? (recode from quetsys)|pets
OTHERS||NA|Do you have any dogs that live mainly in your home?  (recode from quetsys)|pets
OTHERS|hs_numsiblings|NA|number of siblings|misc
OTHERS||NA|time of sample collection|NA
OTHERS||NA|hairV9y collection|NA
OTHERS||NA|Item 2 of PSS-4 (Negative)|NA
OTHERS||NA|Item 6 of PSS-4 (Positive)|NA
OTHERS||NA|Item 7 of PSS-4 (Positive)|NA
OTHERS||NA|Item 14 of PSS-4 (Negative)|NA
OTHERS||NA|Item 2 of PSS-4 (Negative) count|NA
OTHERS||NA|Item 6 of PSS-4 (Positive) Count|NA
OTHERS||NA|Item 7 of PSS-4 (Positive) Count|NA
OTHERS||NA|Item 14 of PSS-4 (Negative) Count|NA
OTHERS||NA|Perceved Stress Scale-4 Total Score|NA
